N,Gp,mu,R(J/(K*g)),tau,g(m/s^2),beta,Betav1,Betav2,Betav3,T_irr(K),P_H(Pa),Gv1,Gv2,Gv3,Gamma1,Gamma2,sigma,P(Pa),Kappa(m^2/kg),T(K),rho,pkpt,pkpr,J1(W/m^2),J2(W/m^2),H1(W/m^2),H2(W/m^2),C1,C3,GAMMA_0,t_th
  55,0.874E+01,.57735E+00,  3522.881, 0.435E+00, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.389E-02,0.779E+04,0.631E-03,.18003E+04,0.123E-02,   1.39528,   0.00004,    0.1589838391E+06,    0.2122358575E+05,    0.2653144225E+04,    0.1046791773E+05,    0.2625432416E+06,    0.2944055304E+06,    0.2012389849E+06,    0.2638546934E+04
  56,0.874E+01,.57735E+00,  3522.881, 0.506E+00, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.441E-02,0.881E+04,0.648E-03,.18144E+04,0.138E-02,   1.13376,   0.00040,    0.1643228470E+06,    0.2160906096E+05,    0.2253670612E+04,    0.1035389067E+05,    0.2625432416E+06,    0.2944055304E+06,    0.1800100180E+06,    0.2506467189E+04
  57,0.874E+01,.57735E+00,  3522.881, 0.588E+00, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.498E-02,0.997E+04,0.667E-03,.18281E+04,0.155E-02,   0.88100,   0.00075,    0.1696145509E+06,    0.2205191034E+05,    0.1927070963E+04,    0.1021325511E+05,    0.2625432416E+06,    0.2944055304E+06,    0.1608476542E+06,    0.2383212458E+04
  58,0.874E+01,.57735E+00,  3522.881, 0.684E+00, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.564E-02,0.113E+05,0.686E-03,.18416E+04,0.174E-02,   0.63538,   0.00110,    0.1748939948E+06,    0.2255916573E+05,    0.1657518316E+04,    0.1004130640E+05,    0.2625432416E+06,    0.2944055304E+06,    0.1436351935E+06,    0.2267159094E+04
  59,0.874E+01,.57735E+00,  3522.881, 0.795E+00, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.638E-02,0.128E+05,0.705E-03,.18550E+04,0.195E-02,   0.39533,   0.00146,    0.1801843007E+06,    0.2313823956E+05,    0.1428216662E+04,    0.9832689945E+04,    0.2625432416E+06,    0.2944055304E+06,    0.1282720428E+06,    0.2157156398E+04
  60,0.874E+01,.57735E+00,  3522.881, 0.925E+00, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.721E-02,0.144E+05,0.725E-03,.18681E+04,0.219E-02,   0.16002,   0.00181,    0.1854808373E+06,    0.2379669079E+05,    0.1224712287E+04,    0.9581440637E+04,    0.2625432416E+06,    0.2944055304E+06,    0.1146430145E+06,    0.2052525638E+04
  61,0.874E+01,.57735E+00,  3522.881, 0.108E+01, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.816E-02,0.163E+05,0.747E-03,.18809E+04,0.246E-02,  -0.07015,   0.00218,    0.1907414960E+06,    0.2454185769E+05,    0.1037108573E+04,    0.9281154564E+04,    0.2625432416E+06,    0.2944055304E+06,    0.1026036702E+06,    0.1952976161E+04
  62,0.874E+01,.57735E+00,  3522.881, 0.125E+01, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.923E-02,0.185E+05,0.770E-03,.18931E+04,0.277E-02,  -0.29341,   0.00254,    0.1958859469E+06,    0.2538032368E+05,    0.8606864598E+03,    0.8925340456E+04,    0.2625432416E+06,    0.2944055304E+06,    0.9198223723E+05,    0.1858471564E+04
  63,0.874E+01,.57735E+00,  3522.881, 0.146E+01, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.104E-01,0.209E+05,0.794E-03,.19047E+04,0.311E-02,  -0.50670,   0.00291,    0.2008038403E+06,    0.2631718029E+05,    0.6950906618E+03,    0.8507987331E+04,    0.2625432416E+06,    0.2944055304E+06,    0.8259251978E+05,    0.1769089895E+04
  64,0.874E+01,.57735E+00,  3522.881, 0.170E+01, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.118E-01,0.236E+05,0.820E-03,.19152E+04,0.350E-02,  -0.70621,   0.00327,    0.2053695718E+06,    0.2735505804E+05,    0.5427301229E+03,    0.8024366397E+04,    0.2625432416E+06,    0.2944055304E+06,    0.7424982230E+05,    0.1684911683E+04
  65,0.874E+01,.57735E+00,  3522.881, 0.198E+01, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.134E-01,0.267E+05,0.848E-03,.19244E+04,0.394E-02,  -0.88794,   0.00362,    0.2094604766E+06,    0.2849292208E+05,    0.4070986173E+03,    0.7472055498E+04,    0.2625432416E+06,    0.2944055304E+06,    0.6678407718E+05,    0.1605946410E+04
  66,0.874E+01,.57735E+00,  3522.881, 0.231E+01, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.151E-01,0.302E+05,0.878E-03,.19323E+04,0.444E-02,  -1.04832,   0.00396,    0.2129757456E+06,    0.2972468530E+05,    0.2914287427E+03,    0.6852123418E+04,    0.2625432416E+06,    0.2944055304E+06,    0.6004846455E+05,    0.1532089032E+04
  67,0.874E+01,.57735E+00,  3522.881, 0.269E+01, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.171E-01,0.342E+05,0.911E-03,.19387E+04,0.501E-02,  -1.18476,   0.00429,    0.2158536057E+06,    0.3103778335E+05,    0.1977678902E+03,    0.6170332008E+04,    0.2625432416E+06,    0.2944055304E+06,    0.5392444175E+05,    0.1463094377E+04
  68,0.874E+01,.57735E+00,  3522.881, 0.315E+01, 9.356,0.840,   0.33333,   0.33333,   0.33333,2010.4,0.200E+07,  26.37849,   4.12259,   0.17255,  10.28926,   0.17422,0.193E-01,0.387E+05,0.945E-03,.19436E+04,0.565E-02,  -1.29614,   0.00460,    0.2180836925E+06,    0.3241197180E+05,    0.1264368470E+03,    0.5438116882E+04,    0.2625432416E+06,    0.2944055304E+06,    0.4832414267E+05,    0.1398565998E+04
