N,Gp,mu,R(J/(K*g)),tau,g(m/s^2),beta,Betav1,Betav2,Betav3,T_irr(K),P_H(Pa),Gv1,Gv2,Gv3,Gamma1,Gamma2,sigma,P(Pa),Kappa(m^2/kg),T(K),rho,pkpt,pkpr,J1(W/m^2),J2(W/m^2),H1(W/m^2),H2(W/m^2),C1,C3,GAMMA_0
  42,0.683E+01,.57735E+00,  3522.881, 0.463E-01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.784E-03,0.157E+04,0.533E-03,.18516E+04,0.240E-03,   0.14032,   0.00082,    0.1433560416E+06,    0.3380652464E+05,    0.2080710173E+05,    0.1892372239E+05,    0.4025630978E+06,    0.4533421321E+06,    0.1167552313E+07
  43,0.683E+01,.57735E+00,  3522.881, 0.540E-01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.887E-03,0.177E+04,0.538E-03,.18517E+04,0.272E-03,   0.19795,   0.00078,    0.1472032860E+06,    0.3389867884E+05,    0.1919778130E+05,    0.1891490869E+05,    0.4025630978E+06,    0.4533421321E+06,    0.1014474289E+07
  44,0.683E+01,.57735E+00,  3522.881, 0.628E-01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.100E-02,0.201E+04,0.544E-03,.18539E+04,0.307E-03,   0.19855,   0.00082,    0.1512512518E+06,    0.3400401535E+05,    0.1761025582E+05,    0.1890479643E+05,    0.4025630978E+06,    0.4533421321E+06,    0.8878733462E+06
  45,0.683E+01,.57735E+00,  3522.881, 0.730E-01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.113E-02,0.227E+04,0.551E-03,.18574E+04,0.347E-03,   0.16286,   0.00089,    0.1554868812E+06,    0.3412450154E+05,    0.1604647604E+05,    0.1889290836E+05,    0.4025630978E+06,    0.4533421321E+06,    0.7801369561E+06
  46,0.683E+01,.57735E+00,  3522.881, 0.846E-01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.128E-02,0.257E+04,0.558E-03,.18618E+04,0.391E-03,   0.10404,   0.00099,    0.1598919265E+06,    0.3426240229E+05,    0.1452145928E+05,    0.1887873227E+05,    0.4025630978E+06,    0.4533421321E+06,    0.6866512155E+06
  47,0.683E+01,.57735E+00,  3522.881, 0.979E-01,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.145E-02,0.290E+04,0.565E-03,.18670E+04,0.442E-03,   0.02889,   0.00111,    0.1644460346E+06,    0.3442032609E+05,    0.1305850974E+05,    0.1886167566E+05,    0.4025630978E+06,    0.4533421321E+06,    0.6046863280E+06
  48,0.683E+01,.57735E+00,  3522.881, 0.113E+00,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.164E-02,0.329E+04,0.573E-03,.18730E+04,0.498E-03,  -0.06001,   0.00124,    0.1691306889E+06,    0.3460127782E+05,    0.1168423687E+05,    0.1884101592E+05,    0.4025630978E+06,    0.4533421321E+06,    0.5325249646E+06
  49,0.683E+01,.57735E+00,  3522.881, 0.131E+00,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.186E-02,0.372E+04,0.581E-03,.18798E+04,0.561E-03,  -0.16237,   0.00140,    0.1739336679E+06,    0.3480871739E+05,    0.1042403850E+05,    0.1881584791E+05,    0.4025630978E+06,    0.4533421321E+06,    0.4689382443E+06
  50,0.683E+01,.57735E+00,  3522.881, 0.151E+00,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.210E-02,0.420E+04,0.590E-03,.18875E+04,0.632E-03,  -0.27883,   0.00158,    0.1788535951E+06,    0.3504662430E+05,    0.9298238422E+04,    0.1878502703E+05,    0.4025630978E+06,    0.4533421321E+06,    0.4129336097E+06
  51,0.683E+01,.57735E+00,  3522.881, 0.174E+00,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.238E-02,0.476E+04,0.600E-03,.18962E+04,0.712E-03,  -0.41032,   0.00177,    0.1839039156E+06,    0.3531956855E+05,    0.8318956057E+04,    0.1874710425E+05,    0.4025630978E+06,    0.4533421321E+06,    0.3636537962E+06
  52,0.683E+01,.57735E+00,  3522.881, 0.200E+00,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.269E-02,0.538E+04,0.610E-03,.19058E+04,0.801E-03,  -0.55767,   0.00199,    0.1891153777E+06,    0.3563278798E+05,    0.7487955253E+04,    0.1870024961E+05,    0.4025630978E+06,    0.4533421321E+06,    0.3203390309E+06
  53,0.683E+01,.57735E+00,  3522.881, 0.231E+00,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.304E-02,0.609E+04,0.620E-03,.19165E+04,0.902E-03,  -0.72151,   0.00223,    0.1945359987E+06,    0.3599227205E+05,    0.6795894863E+04,    0.1864216137E+05,    0.4025630978E+06,    0.4533421321E+06,    0.2823101943E+06
  54,0.683E+01,.57735E+00,  3522.881, 0.266E+00,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.344E-02,0.689E+04,0.632E-03,.19282E+04,0.101E-02,  -0.90217,   0.00250,    0.2002277379E+06,    0.3640485195E+05,    0.6223356793E+04,    0.1856995909E+05,    0.4025630978E+06,    0.4533421321E+06,    0.2489585545E+06
  55,0.683E+01,.57735E+00,  3522.881, 0.307E+00,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.389E-02,0.779E+04,0.643E-03,.19410E+04,0.114E-02,  -1.09965,   0.00279,    0.2062597369E+06,    0.3687829616E+05,    0.5743692034E+04,    0.1848005924E+05,    0.4025630978E+06,    0.4533421321E+06,    0.2197383455E+06
  56,0.683E+01,.57735E+00,  3522.881, 0.354E+00,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.441E-02,0.881E+04,0.656E-03,.19547E+04,0.128E-02,  -1.31355,   0.00310,    0.2126988916E+06,    0.3742141030E+05,    0.5327199398E+04,    0.1836803290E+05,    0.4025630978E+06,    0.4533421321E+06,    0.1941610425E+06
  57,0.683E+01,.57735E+00,  3522.881, 0.408E+00,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.498E-02,0.997E+04,0.670E-03,.19694E+04,0.144E-02,  -1.54305,   0.00345,    0.2195993583E+06,    0.3804413750E+05,    0.4945660406E+04,    0.1822844683E+05,    0.4025630978E+06,    0.4533421321E+06,    0.1717905241E+06
  58,0.683E+01,.57735E+00,  3522.881, 0.470E+00,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.564E-02,0.113E+05,0.684E-03,.19849E+04,0.161E-02,  -1.78688,   0.00381,    0.2269929241E+06,    0.3875765249E+05,    0.4576069553E+04,    0.1805469178E+05,    0.4025630978E+06,    0.4533421321E+06,    0.1522384409E+06
  59,0.683E+01,.57735E+00,  3522.881, 0.543E+00,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.638E-02,0.128E+05,0.700E-03,.20012E+04,0.181E-02,  -2.04330,   0.00421,    0.2348817338E+06,    0.3957443479E+05,    0.4202690023E+04,    0.1783880783E+05,    0.4025630978E+06,    0.4533421321E+06,    0.1351594220E+06
  60,0.683E+01,.57735E+00,  3522.881, 0.627E+00,14.311,0.811,   0.33333,   0.33333,   0.33333,2355.2,0.200E+07,  65.83614,   8.70505,   0.20557,   8.28951,   0.20972,0.721E-02,0.144E+05,0.717E-03,.20181E+04,0.203E-02,  -2.31006,   0.00462,    0.2432338013E+06,    0.4050829506E+05,    0.3817242196E+04,    0.1757132541E+05,    0.4025630978E+06,    0.4533421321E+06,    0.1202461422E+06
