N,Gp,mu,R(J/(K*g)),tau,g(m/s^2),beta,Betav1,Betav2,Betav3,T_irr(K),P_H(Pa),Gv1,Gv2,Gv3,Gamma1,Gamma2,sigma,P(Pa),Kappa(m^2/kg),T(K),rho,pkpt,pkpr,J1(W/m^2),J2(W/m^2),H1(W/m^2),H2(W/m^2),C1,C3,GAMMA_0,t_th
  33,0.112E+02,.57735E+00,  3522.881, 0.233E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.258E-03,0.517E+03,0.576E-04,.11603E+04,0.126E-03,  15.39669,  -0.01540,    0.2293800608E+05,    0.1136542167E+05,    0.1170622818E+05,    0.6589674273E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.2163580015E+07,    0.1079339899E+06
  34,0.112E+02,.57735E+00,  3522.881, 0.277E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.292E-03,0.585E+03,0.609E-04,.11623E+04,0.143E-03,  15.35335,  -0.01534,    0.2314240756E+05,    0.1136691455E+05,    0.1167604351E+05,    0.6590129237E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.1906286078E+07,    0.1014499681E+06
  35,0.112E+02,.57735E+00,  3522.881, 0.330E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.331E-03,0.662E+03,0.646E-04,.11646E+04,0.161E-03,  15.30128,  -0.01526,    0.2338670494E+05,    0.1136870402E+05,    0.1163999933E+05,    0.6590671183E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.1678555838E+07,    0.9517447054E+05
  36,0.112E+02,.57735E+00,  3522.881, 0.394E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.374E-03,0.748E+03,0.685E-04,.11674E+04,0.182E-03,  15.23890,  -0.01518,    0.2367879350E+05,    0.1137085103E+05,    0.1159694991E+05,    0.6591316527E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.1476972288E+07,    0.8910461582E+05
  37,0.112E+02,.57735E+00,  3522.881, 0.470E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.423E-03,0.847E+03,0.727E-04,.11706E+04,0.205E-03,  15.16437,  -0.01508,    0.2402810847E+05,    0.1137342945E+05,    0.1154553217E+05,    0.6592084529E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.1298522040E+07,    0.8323591143E+05
  38,0.112E+02,.57735E+00,  3522.881, 0.562E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.479E-03,0.958E+03,0.772E-04,.11745E+04,0.231E-03,  15.07557,  -0.01497,    0.2444591077E+05,    0.1137652890E+05,    0.1148412819E+05,    0.6592997646E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.1140549392E+07,    0.7756238557E+05
  39,0.112E+02,.57735E+00,  3522.881, 0.672E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.542E-03,0.108E+04,0.822E-04,.11791E+04,0.261E-03,  14.97010,  -0.01483,    0.2494562253E+05,    0.1138025838E+05,    0.1141082241E+05,    0.6594081869E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.1000715403E+07,    0.7207675630E+05
  40,0.112E+02,.57735E+00,  3522.881, 0.805E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.613E-03,0.123E+04,0.875E-04,.11846E+04,0.294E-03,  14.84522,  -0.01468,    0.2554322218E+05,    0.1138475078E+05,    0.1132335311E+05,    0.6595367002E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.8769611749E+06,    0.6677065603E+05
  41,0.112E+02,.57735E+00,  3522.881, 0.965E-02, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.693E-03,0.139E+04,0.932E-04,.11910E+04,0.330E-03,  14.69787,  -0.01450,    0.2625771304E+05,    0.1139016876E+05,    0.1121905744E+05,    0.6596886810E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.7674746966E+06,    0.6163493900E+05
  42,0.112E+02,.57735E+00,  3522.881, 0.116E-01, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.784E-03,0.157E+04,0.995E-04,.11985E+04,0.371E-03,  14.52466,  -0.01429,    0.2711168485E+05,    0.1139671242E+05,    0.1109480906E+05,    0.6598678946E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.6706606932E+06,    0.5666011151E+05
  43,0.112E+02,.57735E+00,  3522.881, 0.139E-01, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.887E-03,0.177E+04,0.106E-03,.12074E+04,0.417E-03,  14.32190,  -0.01405,    0.2813199606E+05,    0.1140462958E+05,    0.1094694747E+05,    0.6600784484E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.5851132155E+06,    0.5183693956E+05
  44,0.112E+02,.57735E+00,  3522.881, 0.168E-01, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.100E-02,0.201E+04,0.114E-03,.12177E+04,0.468E-03,  14.08564,  -0.01378,    0.2935061448E+05,    0.1141422982E+05,    0.1077119782E+05,    0.6603246787E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.5095910187E+06,    0.4715730338E+05
  45,0.112E+02,.57735E+00,  3522.881, 0.202E-01, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.113E-02,0.227E+04,0.123E-03,.12297E+04,0.524E-03,  13.81169,  -0.01346,    0.3080566292E+05,    0.1142590405E+05,    0.1056258133E+05,    0.6606109227E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.4429962609E+06,    0.4261537812E+05
  46,0.112E+02,.57735E+00,  3522.881, 0.244E-01, 9.356,0.840,   0.33333,   0.33333,   0.33333,1630.8,0.200E+07,   5.20886,   1.09542,   0.14325,  13.18816,   0.17088,0.128E-02,0.257E+04,0.132E-03,.12435E+04,0.586E-03,  13.49574,  -0.01310,    0.3254271631E+05,    0.1144015214E+05,    0.1031531991E+05,    0.6609410905E+04,    0.1541407534E+06,   -0.3612495556E+06,    0.3843576054E+06,    0.3820921162E+05
